EPISODE_ID,EVENT_ID,EPISODE_NARRATIVE,EVENT_NARRATIVE
108515,650102,Drought...,
108515,650103,Drought...,
106408,638796,Isolated to scattered thunderstorms produced strong and damaging winds near Ardmore in Lincoln County.,Multiple trees were knocked down in the Ardmore area. Some minor structural damage was reported. Time estimated by radar.
108338,648982,"By the final issuance of the Drought Monitor for May, Severe Drought (D2) conditions were introduced into southern Franklin County.","By the final issuance of the Drought Monitor for May, Severe Drought (D2) conditions were introduced into Franklin County."
108345,650021,"The issuance of the Drought Monitor on the 14th expanded Severe (D2) Drought conditions to include Lincoln and Moore Counties, and across the remainder of Franklin County.",
108345,650022,"The issuance of the Drought Monitor on the 14th expanded Severe (D2) Drought conditions to include Lincoln and Moore Counties, and across the remainder of Franklin County.",
105138,640624,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,EMA reports multiple trees knocked down in Lynchburg.
105138,640631,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees were knocked down on Paint Hollow Road.
105138,640634,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees were knocked down and damage reported near Mulberry. Time estimated by radar.
105138,640636,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees were knocked down on Bellview Road.
105138,640637,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees were knocked down.
105138,640639,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees and power lines were knocked down in the Kirkland and Bellview areas. Reported on social media.
105138,640640,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees were knocked down on Blanche Road.
105138,640642,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees were knocked down on Ellis Childress Road.
105138,640643,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees were knocked down on Molino Road.
105138,640644,A band of strong to severe thunderstorms developed in middle Tennessee and dropped south-southeast into southern middle Tennessee during the late afternoon and early evening hours.  The gust fronts from these storms produced widespread winds of 35-50 mph.  A few more isolated locations likely received winds close to 60 mph.  Numerous reports of trees and tree limbs being knocked down were received.,Trees were knocked down on Smith Mill Road.
103830,620892,A fast moving storm system brought light snow to the northeastern half of Middle Tennessee during the evening hours on February 10. Snow amounts up to 1.5 inches were reported.,Snow amounts around 1/2 inch were measured across Cheatham County. CoCoRaHS station Kingston Springs 0.3 ENE measured 0.5 inches of snow.
103830,620893,A fast moving storm system brought light snow to the northeastern half of Middle Tennessee during the evening hours on February 10. Snow amounts up to 1.5 inches were reported.,Snow amounts up to 1 inch were measured across Davidson County. CoCoRaHS station Hermitage 2.6 E measured 0.7 inches of snow. Nashville International Airport measured 0.4 inches of snow.
112568,671604,"A strong cold front moved through Middle Tennessee during the evening hours on December 17 into the early morning hours on December 18, with a line of strong to severe thunderstorms developing along and ahead of the front. Numerous reports of wind damage were received across the area.",A Tspotter report and photos showed the Cedar Creek Marina Dock was damaged and several trees were blown down nearby.
112568,671562,"A strong cold front moved through Middle Tennessee during the evening hours on December 17 into the early morning hours on December 18, with a line of strong to severe thunderstorms developing along and ahead of the front. Numerous reports of wind damage were received across the area.",Tspotter photo showed a tree uprooted in the backyard of a home on the Indian Lake Peninsula in Hendersonville.
102472,612391,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 7 inches was recorded at White Oak.
102472,612395,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 8 inches was reported at Roan Mountain.
102472,612404,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 4 inches was reported at Cosby.
102472,612405,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 5 inches was reported at Newport.
104062,622531,Supercell and multi-cell cluster thunderstorms affected much of the Tennessee Valley in advance of a strong cold front during the late afternoon and evening hours of the 31st.,Quarter size hail was reported.
102472,612414,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 3.5 inches was reported at the National Weather Service Office in Morristown.
102472,612415,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 6 inches was reported at Morristown.
102472,612421,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 8 inches was reported at Mountain City.
102472,612422,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 4 inches was reported at Rugby.
102472,612428,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 7 inches was reported at Oneida.
102472,612429,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 5 inches was reported at Huntsville.
102472,612436,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 4 inches was reported at Gatlinburg.
102472,612437,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 4 inches was reported at Pigeon Forge.
102472,612445,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 3.5 inches was reported at the Tri-Cities Regional Airport.
102472,612447,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 4.5 inches was reported at Bristol.
102472,612456,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 8 inches was reported at Limestone Cove.
102472,612457,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 8 inches was reported at Fall Branch.
102472,612458,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 7 inches was reported at Leesburg.
102472,612459,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 5 inches was reported at Jonesborough.
102472,612478,"A strengthening low pressure system moved northeast from the Lower Mississippi Valley across the Southern Appalachians with a modified Arctic air mass in place prior to the system's arrival.  Temperatures were cold enough in this air mass that much of the precipitation that fell across the northern Cumberland Plateau, southwest Virginia, and extreme northeast Tennessee was in the form of snow. Temperatures warmed above freezing for a few hours across much of the remainder of the Great Valley as the surface low approached the valley. However, once the pressure center shifted east into the Carolinas, the rain changed to snow. Winter storm warning criteria was met basically north of the Interstate 40 corridor with amounts ranging from around 8 to 12 inches of snow across the northern Cumberland Plateau across northeast Tennessee into Southwest Virginia. In some higher terrain areas, amounts topped out around 15 to 16 inches across Southwest Virginia with about two feet in the High Knob region. Snowfall totals were closer to 4 to 8 inches just south of this heavier band of snow.",A snowfall total of 8 inches was reported at Surgoinsville.
103234,616854,"An arctic air mass moved over the Southern Appalachian region earlier in the week and a northerly flow maintained a rather frigid low level atmosphere through the middle part of the week.  Moderate to heavy snowfall occurred in an area along interstate 40 and points north across the Cumberland Plateau, Northeast Tennessee, and Southwest Virginia during the afternoon through early evening hours. Snowfall amounts were generally in the 3 to 5 inch range, although some higher totals were seen on the Cumberland Plateau and across parts of Northeast Tennessee.",Three inches of snow was reported at Oak Ridge.
103234,616860,"An arctic air mass moved over the Southern Appalachian region earlier in the week and a northerly flow maintained a rather frigid low level atmosphere through the middle part of the week.  Moderate to heavy snowfall occurred in an area along interstate 40 and points north across the Cumberland Plateau, Northeast Tennessee, and Southwest Virginia during the afternoon through early evening hours. Snowfall amounts were generally in the 3 to 5 inch range, although some higher totals were seen on the Cumberland Plateau and across parts of Northeast Tennessee.",Five inches of snow was reported at Oneida.
103234,616856,"An arctic air mass moved over the Southern Appalachian region earlier in the week and a northerly flow maintained a rather frigid low level atmosphere through the middle part of the week.  Moderate to heavy snowfall occurred in an area along interstate 40 and points north across the Cumberland Plateau, Northeast Tennessee, and Southwest Virginia during the afternoon through early evening hours. Snowfall amounts were generally in the 3 to 5 inch range, although some higher totals were seen on the Cumberland Plateau and across parts of Northeast Tennessee.",Six inches of snow was reported at La Follette.
103234,616862,"An arctic air mass moved over the Southern Appalachian region earlier in the week and a northerly flow maintained a rather frigid low level atmosphere through the middle part of the week.  Moderate to heavy snowfall occurred in an area along interstate 40 and points north across the Cumberland Plateau, Northeast Tennessee, and Southwest Virginia during the afternoon through early evening hours. Snowfall amounts were generally in the 3 to 5 inch range, although some higher totals were seen on the Cumberland Plateau and across parts of Northeast Tennessee.",Four inches of snow was reported at Clinton.
